Date and time,Energy per inverter | FRONIUS Eco 25.0-3-S (1),Energy per inverter | FRONIUS Eco 25.0-3-S (2),Energy per inverter | FRONIUS Eco 25.0-3-S (3),Energy per inverter | FRONIUS Eco 25.0-3-S (4),Energy per inverter per kWp | FRONIUS Eco 25.0-3-S (1),Energy per inverter per kWp | FRONIUS Eco 25.0-3-S (2),Energy per inverter per kWp | FRONIUS Eco 25.0-3-S (3),Energy per inverter per kWp | FRONIUS Eco 25.0-3-S (4),Total system
[dd.MM.yyyy],[kWh],[kWh],[kWh],[kWh],[kWh/kWp],[kWh/kWp],[kWh/kWp],[kWh/kWp],[kWh]
01.01.2023,133.76287,131.03929,132.11191,108.02098,5.42869,5.38813,5.43223,4.37332,504.93505
02.01.2023,132.76334,130.94068,131.20018,107.75696,5.38812,5.38407,5.39474,4.36263,502.66116
03.01.2023,134.93642,132.62102,133.58859,109.10523,5.47632,5.45317,5.49295,4.41722,510.25126
04.01.2023,133.75767,131.45231,132.39852,109.05731,5.42848,5.40511,5.44402,4.41528,506.66580
05.01.2023,21.28620,20.49792,20.63423,19.75444,0.86389,0.84284,0.84845,0.79978,82.17279
06.01.2023,88.50634,86.97879,87.23651,78.59929,3.59198,3.57643,3.58703,3.18216,341.32093
07.01.2023,112.03628,110.69629,111.45070,94.29761,4.54693,4.55166,4.58268,3.81772,428.48088
08.01.2023,62.70128,61.68945,61.89401,53.02132,2.54469,2.53657,2.54498,2.14661,239.30605
09.01.2023,104.44700,102.20160,102.50657,88.56231,4.23892,4.20237,4.21491,3.58552,397.71749
10.01.2023,9.94788,9.57174,9.61955,9.50578,0.40373,0.39357,0.39554,0.38485,38.64495
11.01.2023,144.19145,142.14099,143.23414,124.29134,5.85193,5.84461,5.88956,5.03204,553.85792
12.01.2023,149.64849,147.52209,149.03251,129.13301,6.07340,6.06588,6.12798,5.22806,575.33611
13.01.2023,147.39373,146.02338,146.91855,128.00153,5.98189,6.00425,6.04106,5.18225,568.33719
14.01.2023,142.56137,141.24632,142.18867,124.95247,5.78577,5.80783,5.84657,5.05880,550.94883
15.01.2023,136.49203,135.17061,136.02879,120.38999,5.53945,5.55800,5.59329,4.87409,528.08142
16.01.2023,85.83502,84.56811,85.16017,76.78369,3.48356,3.47731,3.50165,3.10865,332.34698
17.01.2023,89.13320,87.17462,87.65974,81.22057,3.61742,3.58448,3.60443,3.28828,345.18813
18.01.2023,89.01690,86.30616,87.21391,86.85348,3.61270,3.54877,3.58610,3.51634,349.39046
19.01.2023,90.71828,89.96180,91.19867,84.55785,3.68175,3.69909,3.74995,3.42339,356.43659
20.01.2023,140.80290,139.30099,140.35779,127.39842,5.71440,5.72784,5.77129,5.15783,547.86011
21.01.2023,145.01224,143.89101,145.07241,131.53508,5.88524,5.91657,5.96515,5.32531,565.51073
22.01.2023,148.53858,147.49387,148.72345,135.42746,6.02835,6.06472,6.11527,5.48289,580.18336
23.01.2023,147.47474,146.51802,147.49109,135.23064,5.98518,6.02459,6.06460,5.47492,576.71449
24.01.2023,144.68785,143.66767,144.70070,133.38236,5.87207,5.90739,5.94986,5.40010,566.43858
25.01.2023,145.04651,144.34906,145.14968,134.29140,5.88663,5.93541,5.96833,5.43690,568.83665
26.01.2023,144.20002,143.75380,144.47771,134.30336,5.85227,5.91093,5.94070,5.43738,566.73488
27.01.2023,120.60397,118.77931,119.24079,113.81678,4.89464,4.88402,4.90299,4.60797,472.44085
28.01.2023,17.21290,17.66739,18.72741,17.23683,0.69858,0.72646,0.77004,0.69785,70.84453
29.01.2023,81.58948,79.41438,80.20790,74.91084,3.31126,3.26539,3.29802,3.03283,316.12260
30.01.2023,122.76824,121.56603,122.04335,116.97366,4.98248,4.99860,5.01823,4.73578,483.35128
31.01.2023,125.97692,124.85233,125.17110,120.55896,5.11270,5.13373,5.14684,4.88093,496.55931
