Date,Power,Perciption,PS,Humidity,TS,T2M_MAX,T2M_MIN,Temperature,WS10M,Solar_Irradiance
6/30/2023,566.19502,0,81.13,15.69,32.19,37.7,19.44,28.69,4.46,7.78
6/29/2023,569.45125,0,81.44,18.62,29.75,34.65,18.92,26.7,7.85,7.87
6/28/2023,571.48005,0,81.47,15.38,28.24,33.96,15.89,25.45,6.84,7.98
6/27/2023,564.09811,0,81.22,18.69,28.42,33.29,15.58,24.6,5.33,7.91
6/26/2023,543.39569,0,81.17,29,27.98,34.1,15.2,23.79,7.82,7.67
6/25/2023,458.33869,0,81.17,23.56,29.42,35.37,17.28,25.61,8.56,6.35
6/24/2023,451.26067,0,81.35,17.19,30.53,36.32,18.78,27.14,8.04,7.12
6/23/2023,391.56114,0,81.5,21.31,29.73,35.73,19.15,26.42,9.05,5.48
6/22/2023,426.4507,0,81.37,20.81,32,38.23,20.36,28.9,4.8,6.34
6/21/2023,361.33391,0,81.22,19.88,32.76,39.34,21.72,30.61,4.41,5.17
6/20/2023,428.42101,0,81.31,20.31,31.41,37.94,20.23,29.02,3.77,5.72
6/19/2023,502.54426,0,81.33,19.44,30.87,37.27,19.7,28.83,4.2,5.7
6/18/2023,506.69617,0,81.21,18.94,30.21,37.1,21.18,29.01,3.77,5.99
6/17/2023,566.50246,0,81.08,18.81,29.12,36.78,17.52,27.19,5.09,7.36
6/16/2023,583.66685,0,81.19,17.88,26.52,33.55,16.11,24.9,7,8.07
6/15/2023,588.86677,0,81.27,21.69,25.86,32.63,15.83,24.08,6.15,8.06
6/14/2023,575.62011,0,81.32,26.62,25.65,32.23,14.8,23.83,4.75,7.93
6/13/2023,582.8495,0,81.38,28.06,25.08,31.76,14.19,23.21,4.36,8.01
6/12/2023,568.58954,0,81.37,32.75,24.71,31.68,14.36,22.82,3.84,7.82
6/11/2023,566.72303,0,81.42,31.88,23.71,29.94,12.37,21.4,4.5,7.82
6/10/2023,560.91992,0.01,81.48,45.56,22.88,27.97,12.57,19.89,5.78,7.49
6/9/2023,541.27412,12.33,81.63,53.31,20.68,25.99,15.44,19.26,7.32,6.35
6/8/2023,401.03669,0.15,81.71,26.25,26.28,30.9,16.9,23.65,4.71,3.43
6/7/2023,576.61834,0,81.68,19.38,27.58,33.01,17.4,24.95,4.82,7.39
6/6/2023,519.83911,0,81.78,24.06,27.67,33.86,16.82,25.08,4.64,7.36
6/5/2023,480.93707,0.1,81.77,28.81,27.8,33.51,16.45,24.65,4.05,6.71
6/4/2023,504.50653,0,81.76,26.88,26.35,32.39,14.77,23.4,4.56,7.03
6/3/2023,591.74659,0,81.75,26,25.69,31.6,14.42,22.65,5.28,7.88
6/2/2023,574.40092,0,81.66,26.38,25.47,31.68,14.06,22.83,5.08,7.12
6/1/2023,368.4938,0,81.55,23.38,24.29,31.41,14.12,22.69,3.27,5.16
5/31/2023,587.20012,0,81.65,21.56,23.29,31.09,12.31,21.52,5.2,7.75
5/30/2023,605.79824,0,81.87,28.75,21.8,29.05,11.27,20.11,5.01,7.79
5/29/2023,607.55275,0,81.89,35.75,21.28,27.8,11.26,19.28,5.45,7.87
5/28/2023,598.56938,1.81,81.7,40.88,21.76,28.66,11.12,20.06,4.41,7.69
5/27/2023,366.9082,16.12,81.63,49.81,18.14,22.03,12.88,18.2,2.8,4.13
5/26/2023,517.49258,0,81.75,31.06,23.76,30.12,12.92,21.55,2.84,7.1
5/25/2023,598.01002,0,81.97,33.5,23.56,29.78,14.08,21.39,5.02,7.71
5/24/2023,516.92439,0,81.97,38.62,24.26,30.06,13.44,22,4.65,6.76
5/23/2023,534.54777,0.35,81.93,46.81,23.98,28.68,15.31,22.04,3.7,7.18
5/22/2023,313.64446,2.4,81.79,59.19,20.39,25.19,15.23,20.06,3.95,3.3
5/21/2023,388.44855,9.78,81.75,53.06,19.98,24.6,12.94,19.29,3.92,4.59
5/20/2023,358.86866,0.02,81.73,31.5,22.78,29.32,14.6,22.11,3.34,3.93
5/19/2023,465.77767,0,81.88,28.25,22.61,29.48,13.63,21.51,2.68,4.35
5/18/2023,601.88016,0,81.81,29.5,19.94,28.62,9.24,19.13,4.38,7.42
5/17/2023,626.23404,0.26,81.57,44.38,17.65,22.57,7.9,15.08,5.02,7.79
5/16/2023,611.9896,0,81.27,32.75,19.79,26.49,10.96,18.53,6.55,7.42
5/15/2023,603.77735,0.01,81.19,33.88,20.14,25.97,13.17,19.31,5.73,7.73
5/14/2023,510.3434,0.02,81.49,34.88,21.09,27.97,11.61,20.45,3.7,4.76
5/13/2023,603.59054,0,81.96,40.56,21.66,27.84,11.27,19.06,4.62,7.48
5/12/2023,538.04278,0,82.01,42.06,21.05,26.1,11.85,19.08,2.92,5.59
5/11/2023,599.89746,0,81.94,47.31,21,26.72,12.75,19.51,4.45,7.52
5/10/2023,358.54069,1.46,81.84,41.62,20.05,26.08,14,19.52,3.78,4.64
5/9/2023,614.90628,0,81.78,30.25,21.83,30.12,10.68,20.69,3.45,7.61
5/8/2023,627.21545,0,81.79,34.62,18.28,27.01,7.6,17.26,3.34,7.71
5/7/2023,641.60403,0,81.86,33.38,15.98,24.09,8.63,15.77,4.61,7.71
5/6/2023,643.59963,0,81.78,39.56,15.02,22,4.55,13.68,3.57,7.62
5/5/2023,636.30151,0.01,81.53,50.75,15.85,20.58,6.87,13.55,5.18,7.43
5/4/2023,621.30115,0,81.5,44.25,19.6,27.04,9.69,18.23,4.2,6.43
5/3/2023,330.72121,0.6,81.61,45.25,19.46,26.79,10.87,18.68,4.55,4.23
5/2/2023,569.68563,0,81.55,37.56,20.07,27.13,13.14,19.8,2.85,6.26
5/1/2023,437.36913,0.41,81.38,42.38,18.37,24.77,12.37,18.65,3.21,3.1
4/30/2023,412.71532,6.45,81.37,59.06,17.45,23.19,11.51,17.01,3.62,3.78
4/29/2023,533.8565,21.32,81.45,53.25,17.79,24.87,10.41,16.58,2.1,6.69
4/28/2023,440.81646,0.25,81.42,47.38,19.57,25.01,10.94,18.1,2.33,5.13
4/27/2023,328.93431,0.13,81.43,48.62,18.89,25.35,10.08,17.72,3.47,7.21
4/26/2023,327.84229,0,81.59,41.69,19.05,25.44,10.5,18.64,3.32,4.43
4/25/2023,438.76251,0,81.68,45,20.08,26.83,11.48,18.69,2.4,6.37
4/24/2023,503.73823,5.75,81.71,49.31,18.04,24.93,10.87,17.19,3.32,6.14
4/23/2023,337.54762,1.16,81.66,49.19,14.73,21.51,10.82,15.12,3.62,5.3
4/22/2023,626.03557,0,81.6,35,18.53,26.19,9.22,17.57,2.85,7.27
4/21/2023,611.0869,0,81.42,31.56,15.61,23.87,9.33,15.96,2.86,7.29
4/20/2023,659.25413,0,81.51,31.69,13.12,21.66,2.35,12.6,3.55,7.38
4/19/2023,658.226,0,81.81,32,10.76,18.66,-0.65,8.57,4.95,7.34
4/18/2023,642.55454,0.04,81.92,47.5,10.87,18.73,-0.73,7.75,6.39,7.26
4/17/2023,438.00582,1.09,81.66,67.75,9.41,13.01,0.15,7.19,9.18,4.4
4/16/2023,540.41737,0,81.55,39.31,15.58,23.45,4.27,14.1,4.17,6.71
4/15/2023,629.9026,0,81.75,39.19,15.44,22.58,6.16,13.94,4.28,7.16
4/14/2023,637.68738,0.93,81.76,49.69,18.85,25.1,10.16,17.8,6.27,6.96
4/13/2023,580.79422,0.07,81.78,39,18.84,25.82,11.4,18.38,6.7,6.72
4/12/2023,592.31964,0,81.98,36.19,17.91,25.87,9.48,17.37,4.74,6.56
4/11/2023,608.63285,0.01,82.11,42,18.05,24.53,9.12,16.62,2.83,6.84
4/10/2023,504.78597,0.1,82.14,51.75,16.33,23.9,6.19,14.7,3.12,5.45
